P.x,C.x,O.x,B - L.x,B - T.x,B - L.y,B - T.y,L - T.x,L - T.y,Mean,SD
Proteobacteria,Gammaproteobacteria,Burkholderiales,TRUE,TRUE,14.968569533149227,18.76291243440713,TRUE,8.845668854724819,51.0593366326617,12.677368461624647
Acidobacteriota,Acidobacteriae,Acidobacteriales,FALSE,FALSE,3.219827920724376,1.0292459127918947,FALSE,-1.7002839496461812,12.034377125530309,5.307379551224461
Proteobacteria,Gammaproteobacteria,Xanthomonadales,TRUE,TRUE,4.65028725886489,9.010592285397788,TRUE,7.287406300154998,10.408368419727138,2.098689336198177
Proteobacteria,Alphaproteobacteria,Rhizobiales,FALSE,FALSE,0.15100209067119932,-0.5119329783052919,FALSE,-0.15702678988463162,4.58821364276044,2.0559409215427826
Proteobacteria,Alphaproteobacteria,Acetobacterales,TRUE,TRUE,12.05347367379604,18.183506678418414,TRUE,10.108679130357254,4.214345543972165,2.1328780581873397
Proteobacteria,Alphaproteobacteria,Caulobacterales,TRUE,TRUE,6.388035668432614,12.600109093915314,TRUE,12.28290126232765,2.342011961020706,1.1148972743352417
Firmicutes,Bacilli,Bacillales,TRUE,TRUE,-5.526851848155819,-11.424904344130471,TRUE,-9.559883951475358,2.1979177241405914,3.059591998937336
Proteobacteria,Alphaproteobacteria,Sphingomonadales,FALSE,FALSE,-0.2485544980202137,2.3202164039617776,TRUE,3.751371091494066,1.9457399263662791,0.8170711520528472
Acidobacteriota,Acidobacteriae,Bryobacterales,TRUE,TRUE,-3.669930292189411,-12.065036930367391,TRUE,-10.829819057614435,1.3818417609749756,1.1629371120992982
Proteobacteria,Gammaproteobacteria,Enterobacterales,TRUE,TRUE,7.661411893562433,6.938814206632202,FALSE,0.20591684201387467,1.352868334842334,2.0294867122018476
Proteobacteria,Alphaproteobacteria,Micropepsales,FALSE,TRUE,-0.5173738964982888,-6.140791124854114,TRUE,-7.772171524713065,1.0645104620689378,0.8049989147813266
Actinobacteriota,Actinobacteria,Micrococcales,TRUE,FALSE,-4.444870890769742,-0.40992994518688824,TRUE,5.979474474916916,0.6047746994536192,0.5733324573369636
Proteobacteria,Gammaproteobacteria,Pseudomonadales,TRUE,TRUE,9.25803221109507,14.08654737613277,TRUE,8.342358924623474,0.6028628824603189,0.4914249615867631
Firmicutes,Bacilli,Alicyclobacillales,TRUE,TRUE,-6.141812755044853,-10.031870152604803,TRUE,-6.687323119774704,0.5871670750668974,0.8935255493181891
Proteobacteria,Gammaproteobacteria,GammaproteobacteriaIncertaeSedis,TRUE,TRUE,9.326986085172745,10.655052994993346,TRUE,4.335664569442196,0.5245102531648114,0.2119055865180259
Actinobacteriota,Actinobacteria,Streptomycetales,TRUE,TRUE,4.40753690875201,14.453823587895139,TRUE,20.84681292389079,0.49652059563736295,0.7402524686412222
Acidobacteriota,Acidobacteriae,Solibacterales,TRUE,TRUE,-5.111339084985656,-18.163495246263818,TRUE,-16.15330452995683,0.3915737333659,0.44355579923453897
Firmicutes,Clostridia,Clostridiales,TRUE,FALSE,-3.8717894280755716,-3.0996206876246117,FALSE,0.5587330382753227,0.37907637973359914,0.5616276094484066
Actinobacteriota,Actinobacteria,Corynebacteriales,FALSE,FALSE,-1.0398788124835854,2.4441989931624684,TRUE,5.871125468380372,0.3261867826946204,0.2556258702879493
Actinobacteriota,Thermoleophilia,Gaiellales,TRUE,TRUE,-5.103511726081495,-14.561954218589328,TRUE,-14.095059646329455,0.2930474257535261,0.4245001084774524
Acidobacteriota,Acidobacteriae,Subgroup2,FALSE,TRUE,-8.259963466279644e-4,-12.971390028158304,TRUE,-14.782131610879583,0.27939529731374985,0.2734885687945793
Myxococcota,Polyangia,Haliangiales,TRUE,TRUE,-5.315093716287505,-9.548397812019493,TRUE,-6.596223313176565,0.16731305159391682,0.2189087726836408
Actinobacteriota,Acidimicrobiia,NA,TRUE,TRUE,-5.654324637272151,-13.32005162718844,TRUE,-11.152442351993477,0.16301810450122634,0.21552497264851903
Proteobacteria,Alphaproteobacteria,Rickettsiales,TRUE,TRUE,-3.7727664248267567,-14.297456956456614,TRUE,-16.58696631760706,0.15692569156032832,0.23540413244526204
Actinobacteriota,Actinobacteria,Frankiales,TRUE,TRUE,-6.715265956791538,-21.469311704396315,TRUE,-17.372373861003652,0.14266589792532383,0.21952920280039423
Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,FALSE,FALSE,0.6463524448735695,-1.349418863813257,TRUE,-3.8757606299439047,0.13152642128612463,0.20811076758147115
Bacteroidota,Bacteroidia,Flavobacteriales,FALSE,FALSE,0.39523175133497945,0.6993808135977511,FALSE,0.8383648917939095,0.11945170958413212,0.17861824428456727
Myxococcota,Myxococcia,Myxococcales,FALSE,FALSE,-2.458219397787965,0.4722446146489347,TRUE,3.625838477963099,0.11920062593489426,0.18732408568896783
Bacteroidota,Bacteroidia,Sphingobacteriales,FALSE,TRUE,0.047654175935165535,-4.0282948065255715,TRUE,-4.766729516932922,0.11739131086733155,0.42489598176083093
Bacteroidota,Bacteroidia,Cytophagales,TRUE,TRUE,3.8999398303818076,5.896987233419118,TRUE,5.024988407013753,0.11724551327443594,0.08002389262123234
Proteobacteria,Gammaproteobacteria,WD260,FALSE,TRUE,0.7026241934702088,-9.970087560536385,TRUE,-20.65706443498387,0.11439809386121938,0.13322164810150122
Proteobacteria,Alphaproteobacteria,Dongiales,TRUE,TRUE,6.743404233284193,5.977213494925402,FALSE,0.36610774046346534,0.10644393042928202,0.06536728522277732
Bdellovibrionota,Oligoflexia,0319-6G20,TRUE,TRUE,-3.4246699820921154,-4.448795398733881,FALSE,-1.9013317124720057,0.09908503366212104,0.11297054415439965
Proteobacteria,Alphaproteobacteria,Rhodospirillales,FALSE,TRUE,-0.5751809974962895,-6.452091647235463,TRUE,-6.957878587951545,0.0872050388426501,0.08492715179051001
Bacteroidota,Bacteroidia,Chitinophagales,FALSE,TRUE,-0.5547402091361159,-6.63710560047491,TRUE,-8.188101229399885,0.08335909199191424,0.1007012375777989
Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,TRUE,TRUE,-7.358595878777654,-19.783761613538452,TRUE,-16.428972895469073,0.08290269847961472,0.1255651239582059
WPS-2,WPS-2,WPS-2,TRUE,TRUE,-4.38435262561145,-12.406479814950156,TRUE,-10.918475863512176,0.0780680831338597,0.20847327124601486
Proteobacteria,Alphaproteobacteria,Reyranellales,FALSE,TRUE,0.6565083361641559,-5.245443925202269,TRUE,-9.26829859684625,0.07579848178252517,0.08668047275746336
Myxococcota,Polyangia,Polyangiales,TRUE,FALSE,-3.2576895169159688,-2.9821401487732753,FALSE,-8.477477542584775e-4,0.07471245530335256,0.11083474359638819
Chloroflexi,Ktedonobacteria,Ktedonobacterales,FALSE,TRUE,-2.88407408226345,-9.988991969949677,TRUE,-10.136238047810478,0.06471528357125925,0.08751531867660174
Dependentiae,Babeliae,Babeliales,TRUE,FALSE,3.330941572772861,2.0343536258039943,FALSE,-1.054522233426338,0.06393563771524537,0.06390730683380529
Bacteroidota,Kapabacteria,Kapabacteriales,TRUE,TRUE,-8.091035373080588,-17.299067278710396,TRUE,-10.978664961545919,0.06131494118792387,0.09653705965881633
Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,FALSE,FALSE,1.5074316235059346,-0.8079125461906961,TRUE,-3.199324532188117,0.05796929224075293,0.05858966722238549
Proteobacteria,Alphaproteobacteria,Elsterales,TRUE,TRUE,-4.4064473211119335,-11.915833719479407,TRUE,-9.412901141496897,0.05589555475821916,0.06973831950792997
Proteobacteria,Alphaproteobacteria,Caedibacterales,FALSE,TRUE,1.9199791651532696,-6.928739239845596,TRUE,-11.874338913864843,0.05368232278011019,0.06337726775307065
Proteobacteria,Gammaproteobacteria,JG36-TzT-191,TRUE,TRUE,-3.96423775300079,-10.916166823508885,TRUE,-9.807265649626705,0.05219060532131495,0.09337466645150791
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,TRUE,FALSE,-3.2661472351258447,-1.967975168749065,FALSE,2.0752278213551283,0.04138682515116752,0.08282234633584996
Patescibacteria,Saccharimonadia,Saccharimonadales,TRUE,TRUE,-4.472482175368576,-10.422808190115768,TRUE,-11.916148887725301,0.040684230730205204,0.08088928595729396
Firmicutes,Bacilli,Paenibacillales,TRUE,TRUE,-7.116168353506743,-11.775784444512842,TRUE,-5.139231534472781,0.04021427861054719,0.07443174254131367
Actinobacteriota,Actinobacteria,Micromonosporales,TRUE,TRUE,-4.4626047748953415,-9.676643118560058,TRUE,-6.931582386405185,0.03746432202384689,0.05459611701390376
Proteobacteria,Alphaproteobacteria,Azospirillales,TRUE,FALSE,4.167189064487276,2.5886352645994686,FALSE,-1.390698455380102,0.03506052016599238,0.036894781926193755
Actinobacteriota,Actinobacteria,Propionibacteriales,TRUE,TRUE,-9.493165009400132,-8.725213307983804,FALSE,-0.08434345782349822,0.02382268539606638,0.05410880768388185
Proteobacteria,Gammaproteobacteria,KF-JG30-C25,FALSE,TRUE,0.4518116157697308,-3.31754415587121,TRUE,-7.701720820402255,0.020352762878051614,0.0316449681765989
