P.x,C.x,O.x,B - L.x,B - T.x,B - L.y,B - T.y,L - T.x,L - T.y,Mean,SD
Proteobacteria,Gammaproteobacteria,Burkholderiales,TRUE,TRUE,10.254866821371767,13.651401592216246,FALSE,-0.810616362860177,29.983563568222387,13.026897273396324
Proteobacteria,Alphaproteobacteria,Rhizobiales,TRUE,TRUE,8.502048562061951,19.76669181672025,TRUE,7.802977934003318,12.947204442142674,6.352453014226628
Acidobacteriota,Acidobacteriae,Acidobacteriales,TRUE,TRUE,-8.971631991139082,-15.456960109601363,TRUE,-15.66111625532001,12.069116824256271,7.453153848938959
Proteobacteria,Gammaproteobacteria,Xanthomonadales,FALSE,TRUE,-0.7025783290606353,4.053242419204694,FALSE,-0.32411787305621054,5.044151549621166,1.6441747586306097
Firmicutes,Bacilli,Bacillales,FALSE,TRUE,0.8895492476526197,-21.827260108043763,TRUE,-30.352819760538242,4.391599007548816,3.9630412821272833
Proteobacteria,Gammaproteobacteria,Pseudomonadales,TRUE,TRUE,18.737240629049374,34.59060922810186,TRUE,17.289397927709484,3.395714785382325,3.4367279451135153
Proteobacteria,Alphaproteobacteria,Sphingomonadales,TRUE,TRUE,9.571592849800847,20.482483929681774,TRUE,9.48232690484037,2.6777988488436684,1.522234720915618
Actinobacteriota,Actinobacteria,Micrococcales,TRUE,TRUE,5.002395882467807,9.378903538214795,FALSE,1.3974816694963645,2.3115547470644677,1.1862811849909478
Actinobacteriota,Actinobacteria,Streptomycetales,TRUE,TRUE,11.64548513453501,34.58136404449084,TRUE,27.7401731551705,2.133099236012728,2.803692303269638
Acidobacteriota,Acidobacteriae,Solibacterales,TRUE,TRUE,-11.95611396746094,-22.341958466417225,TRUE,-21.507725824107986,1.970006320758626,1.6355864415468526
Proteobacteria,Alphaproteobacteria,Caulobacterales,TRUE,TRUE,13.778535632983754,31.736537265408007,TRUE,17.769873686111826,1.8858944917052918,1.1648787774551128
Acidobacteriota,Acidobacteriae,Bryobacterales,TRUE,TRUE,-6.902698128999999,-18.19535315245383,TRUE,-21.154509987822607,1.722146109620392,1.2547556950284762
Proteobacteria,Gammaproteobacteria,GammaproteobacteriaIncertaeSedis,FALSE,TRUE,-0.14910190141111485,18.21378640816383,TRUE,14.456591748020287,1.6164682270704067,0.7999914239985979
Actinobacteriota,Thermoleophilia,Gaiellales,FALSE,TRUE,-2.589779483810358,-5.508046092896553,TRUE,-10.834803999841446,1.2527839690011147,0.7029712410219707
Proteobacteria,Gammaproteobacteria,Enterobacterales,TRUE,TRUE,11.652843106121967,15.367751557851454,FALSE,0.6711373649203503,1.2162168430475844,2.33166563023017
Dependentiae,Babeliae,Babeliales,FALSE,FALSE,0.9649233853136864,-0.7353607902963557,TRUE,-6.820685504854685,1.0847017528109155,0.9753338005563531
Myxococcota,Polyangia,Haliangiales,TRUE,TRUE,-10.052544897741786,4.937338367784697,TRUE,12.689524532647928,0.9852426247879466,0.621856400135769
