P.x,C.x,O.x,B - L.x,B - T.x,B - L.y,B - T.y,L - T.x,L - T.y,Mean,SD
Proteobacteria,Gammaproteobacteria,Burkholderiales,TRUE,TRUE,19.042625994077618,14.538228970886308,TRUE,3.40146150370425,48.40507319518825,8.70938415666974
Proteobacteria,Alphaproteobacteria,Rhizobiales,TRUE,TRUE,14.320082711129395,14.052126151574992,TRUE,8.069275432240081,8.714857241037674,2.190717505811112
Proteobacteria,Alphaproteobacteria,Sphingomonadales,TRUE,TRUE,13.280842779387747,12.459006796925761,TRUE,5.5112375831169995,7.787337641010552,2.1208332689701033
Proteobacteria,Gammaproteobacteria,Xanthomonadales,TRUE,TRUE,7.5969735498274655,7.3138079976195565,FALSE,3.1583306560542637,7.342959173925724,2.322402713329003
Actinobacteriota,Actinobacteria,Streptomycetales,TRUE,TRUE,7.368059985887312,23.813744555175568,TRUE,23.206831892069367,5.179223072117631,5.532318589117744
Proteobacteria,Gammaproteobacteria,Pseudomonadales,TRUE,TRUE,11.22797327599824,12.128703438775505,TRUE,7.422924235419872,2.8821246238093057,1.7507808702962124
Acidobacteriota,Acidobacteriae,Acidobacteriales,TRUE,TRUE,10.140407680501125,7.159144156314572,FALSE,-0.8483359930981933,2.793737677687289,1.484601738855092
Proteobacteria,Alphaproteobacteria,Caulobacterales,TRUE,TRUE,13.656005294289187,13.480051418390122,TRUE,6.220608292801944,2.06917103278362,0.7851758773666833
Bacteroidota,Bacteroidia,Flavobacteriales,TRUE,TRUE,14.084787501370998,11.50307543852027,FALSE,1.2698034381647456,1.6059040067416808,1.0085496497879853
Proteobacteria,Gammaproteobacteria,Enterobacterales,TRUE,TRUE,13.073187555766761,12.399588159467536,FALSE,1.876043217322034,1.418415456250706,1.5350183571396727
Firmicutes,Bacilli,Bacillales,TRUE,TRUE,-4.780402830667855,-9.130314489168754,TRUE,-10.020990194375612,1.2533252703069524,2.471377805415869
Actinobacteriota,Actinobacteria,Micrococcales,FALSE,FALSE,-1.3185716695696528,1.6843924003115909,TRUE,4.870077193821176,1.2001743344280276,1.4655364894190326
Acidobacteriota,Holophagae,Subgroup7,TRUE,TRUE,3.5215432096756984,-4.052723417970871,TRUE,-13.903595726409513,1.1658382985615552,1.746637317246362
Proteobacteria,Alphaproteobacteria,Acetobacterales,TRUE,TRUE,13.453565296388923,12.683518545692024,FALSE,3.2136994942212325,0.7899136292948599,0.600864174911961
Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,FALSE,TRUE,1.6890486398136029,-10.635027650981176,TRUE,-16.65551530416643,0.606147744941016,0.7990578511477415
Acidobacteriota,Acidobacteriae,Bryobacterales,FALSE,TRUE,-0.5062708720395969,-9.108111075669601,TRUE,-12.118115225126948,0.5067840650969001,0.7064785309375253
Actinobacteriota,Actinobacteria,Corynebacteriales,FALSE,TRUE,1.126651024517525,7.885862649430007,TRUE,16.21575011787472,0.4728337724721417,0.5163202517678535
Actinobacteriota,Thermoleophilia,Gaiellales,FALSE,TRUE,-3.063749127765547,-8.11123025731996,TRUE,-9.13518891954131,0.44053592091612126,0.6690444497561843
Bacteroidota,Bacteroidia,Chitinophagales,TRUE,TRUE,3.620288305855223,5.076254101910162,TRUE,3.478110855753002,0.4026163472769202,0.449201742320417
Proteobacteria,Gammaproteobacteria,Steroidobacterales,TRUE,TRUE,3.588966889763689,8.632014140591219,TRUE,6.006338280711112,0.3510252825154773,0.437055266454243
Bacteroidota,Bacteroidia,Cytophagales,FALSE,TRUE,2.999383173573647,3.9427580955028203,FALSE,2.2244318263936793,0.3397185222505649,0.29118385086232684
Myxococcota,Polyangia,Haliangiales,TRUE,FALSE,-6.913478465220505,-2.3580364485389635,TRUE,3.4688793338420063,0.3186460404471952,0.5630671799894441
Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,FALSE,FALSE,0.9709104342086283,-0.3740597127951882,FALSE,-2.082441335902699,0.26515553626459043,0.3643973285283449
Acidobacteriota,Acidobacteriae,Solibacterales,FALSE,TRUE,-1.2827895159845644,-10.57448431299553,TRUE,-13.270216158743484,0.22851911421256174,0.42522789650608395
Actinobacteriota,Actinobacteria,Propionibacteriales,FALSE,FALSE,-2.271741233727323,-1.5782205252054082,FALSE,-0.4682062390153082,0.22435633748626954,0.28324767716797045
Proteobacteria,Gammaproteobacteria,Cellvibrionales,FALSE,TRUE,1.7326414604010572,4.546603929538341,TRUE,6.832319849934343,0.2146456604300158,0.25619581658773727
Firmicutes,Bacilli,Alicyclobacillales,TRUE,TRUE,-6.782318483656283,-7.08629163675266,FALSE,-2.7149649788659485,0.19563504861787046,0.5247718231842508
Bacteroidota,Bacteroidia,Sphingobacteriales,FALSE,FALSE,-0.0299843043070121,-1.252765353452445,FALSE,-1.9884658762318617,0.1950354209838553,0.47078152165106035
Myxococcota,Polyangia,Polyangiales,FALSE,TRUE,0.2636720321566167,3.625297367388236,TRUE,4.540307467591393,0.16770149736830156,0.15428489197351028
Myxococcota,Myxococcia,Myxococcales,TRUE,FALSE,-3.7602225167238195,0.288625524667605,TRUE,4.591409619069115,0.1387340860480654,0.348601635239322
Proteobacteria,Gammaproteobacteria,GammaproteobacteriaIncertaeSedis,FALSE,FALSE,0.987235525996358,2.280788976250663,FALSE,1.7378790687521954,0.13832008482201588,0.18302610908089217
Nitrospirota,Nitrospiria,Nitrospirales,FALSE,TRUE,-0.399001827401436,-11.385681724546123,TRUE,-16.612087514201782,0.11970615317145199,0.2062017068684319
Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,FALSE,FALSE,-1.803581965455854,-0.9935302670540818,FALSE,0.4971129163320435,0.1089162416470706,0.18971245419427643
Actinobacteriota,Actinobacteria,Streptosporangiales,TRUE,TRUE,8.357477949905915,18.05512135356725,TRUE,13.713934182766371,0.10403045128701348,0.16096357035774522
